bib_key,cited_in_manuscript,citation_count,supports_claim,claim_supported,action,notes
BalasubramanianNatMater2009,NO,0,NO,"G. Balasubramanian \emph{et~al.}, Nat.\ Mater.\ \textbf{8}, 383 (2009).",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
KolkowitzScience2015,YES,1,YES,"S. Kolkowitz \emph{et~al.}, Science \textbf{347}, 1129 (2015).",KEEP,Cited in manuscript; retained.
MuellerNatComm2014,NO,0,NO,"C. M\""{u}ller \emph{et~al.}, Nat.\ Commun.\ \textbf{5}, 4703 (2014).",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
StaudacherNatPhys2015,NO,0,NO,"T. Staudacher \emph{et~al.}, Nat.\ Phys.\ \textbf{11}, 1029 (2015). % Cryogenic NV",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
TrusheimPRL2020,YES,1,YES,"M.E. Trusheim \emph{et~al.}, Phys.\ Rev.\ Lett.\ \textbf{124}, 020501 (2020).",KEEP,Cited in manuscript; retained.
Sangtawesin2019,YES,2,YES,"S. Sangtawesin \emph{et~al.}, Phys.\ Rev.\ X \textbf{9}, 031052 (2019).",KEEP,Cited in manuscript; retained.
GolterLukin2014,NO,0,NO,"D.A. Golter and H. Wang, Phys.\ Rev.\ Lett.\ \textbf{112}, 116403 (2014).",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
deLangeScience2010,NO,0,NO,"G. de Lange \emph{et~al.}, Science \textbf{330}, 60 (2010). % NV decoherence / Ramsey / T2*",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
TaylorNatPhys2008,YES,1,YES,"J.M. Taylor \emph{et~al.}, Nat.\ Phys.\ \textbf{4}, 810 (2008).",KEEP,Cited in manuscript; retained.
AcostaEtAl2010,NO,0,NO,"V.M. Acosta \emph{et~al.}, Phys.\ Rev.\ Lett.\ \textbf{104}, 070801 (2010).",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
BalasubramanianNature2008,NO,0,NO,"G. Balasubramanian \emph{et~al.}, Nature \textbf{455}, 648 (2008). % CPW / microwave",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
BlankAPL1999,NO,0,NO,"A. Blank \emph{et~al.}, Appl.\ Phys.\ Lett.\ \textbf{75}, 2489 (1999).",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
GaoCPW2007,NO,0,NO,"J. Gao \emph{et~al.}, Appl.\ Phys.\ Lett.\ \textbf{90}, 102507 (2007).",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
Yeh2017,NO,0,NO,"J.-H. Yeh \emph{et~al.}, J.\ Low Temp.\ Phys.\ \textbf{189}, 154 (2017). % Surface spin noise",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
CrookerPRL2004,NO,0,NO,"S.A. Crooker \emph{et~al.}, Phys.\ Rev.\ Lett.\ \textbf{93}, 057205 (2004). % He-3 / He-4 films",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
Bernu2006,YES,2,YES,"B. Bernu \emph{et~al.}, Phys.\ Rev.\ Lett.\ \textbf{96}, 255503 (2006).",KEEP,Cited in manuscript; retained.
MorhardPRB1996,YES,2,YES,"D. Morhard \emph{et~al.}, Phys.\ Rev.\ B \textbf{53}, 14978 (1996).",KEEP,Cited in manuscript; retained.
GreywallPRB1990,NO,0,NO,"D.S. Greywall, Phys.\ Rev.\ B \textbf{41}, 1842 (1990).",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
Greywall1993,YES,1,YES,"D.S. Greywall, Phys.\ Rev.\ B \textbf{47}, 309 (1993).",KEEP,Cited in manuscript; retained.
Godfrin1995,NO,0,NO,"H. Godfrin and R.E. Rapp, Adv.\ Phys.\ \textbf{44}, 113 (1995). % Molecular flow / Knudsen / gas phy",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
Bird1994,YES,1,YES,"G.A. Bird, \textit{Molecular Gas Dynamics and the Direct Simulation of Gas Flows}, Oxford (1994).",KEEP,Cited in manuscript; retained.
Roth1990,YES,1,YES,"A. Roth, \textit{Vacuum Technology}, 3rd ed., Elsevier (1990).",KEEP,Cited in manuscript; retained.
ChambersMVP2005,NO,0,NO,"A. Chambers, \textit{Modern Vacuum Physics}, Chapman \& Hall (2005).",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
Knudsen1909,NO,0,NO,"M. Knudsen, Ann.\ Phys.\ \textbf{28}, 75 (1909). % Molecular beam dosing",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
Scoles1988,NO,0,NO,"G. Scoles (ed.), \textit{Atomic and Molecular Beam Methods}, Oxford University Press (1988). % Vacuu",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
O_Hanlon2003,YES,1,YES,"J.F. O'Hanlon, \textit{A User's Guide to Vacuum Technology}, 3rd ed., Wiley (2003).",KEEP,Cited in manuscript; retained.
Jousten2016,YES,1,YES,"K. Jousten (ed.), \textit{Handbook of Vacuum Technology}, Wiley-VCH (2016).",KEEP,Cited in manuscript; retained.
CERN2020,YES,1,YES,"CERN, \textit{Outgassing Handbook}, 2nd ed.\ (2020).",KEEP,Cited in manuscript; retained.
CalderLewin1967,NO,0,NO,"R. Calder and G. Lewin, Brit.\ J.\ Appl.\ Phys.\ \textbf{18}, 1459 (1967).",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
Dylla1993,NO,0,NO,"H.F. Dylla \emph{et~al.}, J.\ Vac.\ Sci.\ Technol.\ A \textbf{11}, 2623 (1993). % NEG / RGA",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
DalPalmiero2004,YES,1,YES,"A. Dal Palmiero \emph{et~al.}, Vacuum \textbf{73}, 121 (2004).",KEEP,Cited in manuscript; retained.
Giorgi2010,YES,1,YES,"D. Giorgi \emph{et~al.}, J.\ Vac.\ Sci.\ Technol.\ A \textbf{28}, 1332 (2010). % QCM",KEEP,Cited in manuscript; retained.
Sauerbrey1959,YES,1,YES,"G. Sauerbrey, Z.\ Phys.\ \textbf{155}, 206 (1959).",KEEP,Cited in manuscript; retained.
VoinovaPSS1999,NO,0,NO,"M.V. Voinova \emph{et~al.}, Phys.\ Scr.\ \textbf{59}, 391 (1999). % Laser / optical",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
Ozkan2012,YES,1,YES,"A. Ozkan \emph{et~al.}, Appl.\ Surf.\ Sci.\ \textbf{259}, 1 (2012).",KEEP,Cited in manuscript; retained.
Shinoda2009,YES,1,YES,"M. Shinoda \emph{et~al.}, Appl.\ Phys.\ A \textbf{94}, 305 (2009).",KEEP,Cited in manuscript; retained.
GrimdischPRB1975,NO,0,NO,"M.H. Grimsditch and A.K. Ramdas, Phys.\ Rev.\ B \textbf{11}, 3139 (1975). % Diamond",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
Pezzagna2010,NO,0,NO,"S. Pezzagna \emph{et~al.}, Small \textbf{6}, 2117 (2010).",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
ButlerDRM2009,NO,0,NO,"J.E. Butler \emph{et~al.}, Diamond Relat.\ Mater.\ \textbf{18}, 1 (2009). % F-termination",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
OsawaDRM2007,NO,0,NO,"E. Osawa, Diamond Relat.\ Mater.\ \textbf{16}, 2018 (2007).",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
GrotjohnDRM1994,NO,0,NO,"T.A. Grotjohn \emph{et~al.}, Diamond Relat.\ Mater.\ \textbf{3}, 598 (1994). % Phonon / electron",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
BrownPRB2016,NO,0,NO,"A.M. Brown \emph{et~al.}, Phys.\ Rev.\ B \textbf{94}, 075144 (2016). % Vibration / pulse tube",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
Siqueira2012,NO,0,NO,"J. Siqueira \emph{et~al.}, Cryogenics \textbf{52}, 386 (2012). % NV implant",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
Kittel2005,NO,0,NO,"C. Kittel, \textit{Introduction to Solid State Physics}, 8th ed., Wiley (2005).",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
KittelKroemer1980,NO,0,NO,"C. Kittel and H. Kroemer, \textit{Thermal Physics}, 2nd ed., Freeman (1980).",REMOVE_UNUSED,Uncited in manuscript. Removed per no-padding policy. Topic remains in source_gap_register.csv as a documented gap.
