interface_id,interface,subsystems,intended_function,mode,required_compatibility,warm_side_anchor,cold_side_anchor,intermediate_thermal_intercepts,mechanical_attachment,thermal_path,vibration_path,contamination_path,possible_mismatch,measurement_required,status,gate_impact,failure_consequence,can_PASS_now,notes
I034,Surface characterization ↔ termination assumptions,Diamond / model,XPS/AFM results constrain adsorption model,D,XPS > 95% F coverage; AFM shows atomically flat surface; Raman confirms sp3,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Characterization not done; termination assumed,XPS + AFM + Raman post-termination,DESIGN_SPECIFIED,"D11,D13",tau_c model invalid if surface differs from assumption,NO,
I035,Helium isotope purity verification ↔ contrast interpretation,Gas quality / NV physics,Verified purity enables unambiguous isotope contrast,D,He-3 >99.9%; He-4 >99.9%; RGA-verified before use,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Purity not verified; isotope contamination would dilute contrast,RGA or mass-spec of both cylinders before use,DESIGN_SPECIFIED,D13,ΔΓ diluted; nuclear spin hypothesis undermined,NO,
I036,Kevlar end clamps ↔ anchor blocks,Support architecture / thermal intercepts,Secure fiber; transmit tension; conduct heat to intercept,ALL,No slip after 10 thermal cycles; contact resistance < TBD,4K anchor block,10mK anchor block,"4K,1K,100mK,10mK",Crimped/epoxied to fiber; bolted to anchor block,Fiber → clamp body → anchor block → stage plate,Clamp stiffness couples fiber vibration,None,Differential thermal contraction pulls fiber through clamp (slip risk),Slip test at cryogenic T after 10 cycles,DESIGN_SPECIFIED,"D3,E06",Fiber slips → sample falls,NO,Kevlar clamp slip is a critical safety item. Design TBD.
I037,G-10CR flexure mounts ↔ sample-stage frame,Support architecture / sample stage,Attach flexures to frame and stage; lateral compliance,ALL,Attachment stable after 10 thermal cycles; stiffness per design,Warm frame connection,Cold stage connection,N/A,Bolded or adhesive-bonded,G-10CR conduction through mount,Mount transmits lateral vibration,None,Adhesive failure at cryogenic T; mount loosening from differential contraction,Torque-retention test after 10 cycles; alignment check,DESIGN_SPECIFIED,"D3,E06",Lateral drift; heat load increase,NO,G-10CR attachment stability UNKNOWN
I038,OFHC thermal intercept clamps ↔ staged thermal anchors,Support / thermal management,Thermalize Kevlar fiber at each stage,ALL,Contact resistance < TBD at each stage; heat load within budget,Each warmer stage plate,Each colder stage plate,"Staged (4K,1K,100mK,10mK)",Clamped around fiber; bolted to stage plate,OFHC Cu → stage plate → dilution refrigerator,Rigid clamp body,None,Contact resistance too high (no gold plating; dirty surface),Contact-resistance measurement per stage; step-response,DESIGN_SPECIFIED,"D3,E06",Interception fails; heat load bypasses stages,NO,Gold-plated contact faces [DESIGN_SPECIFIED]
I039,Gold-plated copper anchor blocks ↔ support network,Support / thermal management,Low-resistance thermal interface between fiber and stage,ALL,Contact resistance < TBD per block,Warmer intercept plate,Colder intercept plate,Staged,Bolted/clamped to intercept plate; gold-plated mating faces,OFHC Cu block → intercept plate,Rigid,None,Contact resistance too high; surface contamination on gold plate,Contact-resistance measurement,DESIGN_SPECIFIED,D3,Intercept conductance degraded,NO,[DESIGN_SPECIFIED]
I040,Sample-stage mounting plate ↔ diamond sample,Diamond / sample stage,"Provide rigid, thermally conductive platform for diamond",D,Good thermal contact; alignment within 10 µm,MC anchor interface (10mK),Diamond sample (10mK),N/A,Diamond bonded/clamped to plate; plate bolted to anchor,Plate → anchor interface → MC,Plate stiffness,None,Thermal gap between diamond and plate (poor bond); alignment drift,Thermal-contact test (step-response); alignment check after cooldown,DESIGN_SPECIFIED,"D4,D5",Diamond thermally decoupled; T_sample undefined,NO,Diamond-to-plate bond quality [DESIGN_SPECIFIED; UNKNOWN]
I041,Mixing-chamber anchor interface ↔ sample thermal bus,Thermal management / MC,Hard thermal anchor from sample bus to MC,D,Contact resistance << G_eff^-1; gold-plated faces,MC flange (10mK),Sample-stage plate (10mK),N/A,Bolted to MC flange; gold-plated mating faces,OFHC Cu → MC flange,Through bolted joint,None,Interface resistance degrades G_eff,Step-response measurement with interface installed,DESIGN_SPECIFIED,D5,G_eff reduced by interface resistance,NO,MC anchor interface contact resistance [DESIGN_SPECIFIED; UNKNOWN]
I042,Gas-line thermal anchors ↔ cryogenic stages,Gas delivery / thermal management,Thermalize gas lines to prevent heat leak,ALL,"Heat load reduction per design; anchored at 4K,1K,100mK,10mK",Warmer stage,Colder stage,"4K,1K,100mK,10mK",Clamps bolted to each stage plate,Line → clamp → stage plate,Through clamp body,None,Insufficient clamping contact; line vibration couples to chamber,Step-response with gas lines installed,DESIGN_SPECIFIED,D3,Gas-line heat load uncontrolled,NO,Gas-line thermal anchor effectiveness [DESIGN_SPECIFIED; UNKNOWN]
I043,Wire thermal anchors ↔ cryogenic wiring,Electrical / thermal management,Reduce DC/signal wire heat load to MC,ALL,P_cond < 10 nW total after anchoring,Room-T feedthrough,10mK component,"4K,1K,100mK intercepts",Clamped to each stage plate,Wire → clamp → stage plate,Through clamp,None,Insufficient clamping; high contact resistance in clamp,Step-response: P_cond with and without anchors,DESIGN_SPECIFIED,D3,Wire heat load exceeds budget,NO,Wire thermal anchoring effectiveness [DESIGN_SPECIFIED; UNKNOWN]
I044,Microwave-line thermal anchors ↔ CPW feed,Microwave / thermal management,Thermalize coax outer conductor at each stage,D,Total MW-line heat load < TBD nW; attenuation per design,Room-T feedthrough,10mK CPW,"4K,1K,100mK attenuators",Attenuators + clamps at each stage plate,Coax outer conductor → attenuator → stage plate,Through coax body,None,Insufficient attenuation; thermal noise from room T,MW line heat load measurement; S-parameter verification,DESIGN_SPECIFIED,D16,MW heating exceeds budget,NO,MW-line thermal anchor effectiveness [DESIGN_SPECIFIED; UNKNOWN]
I045,Optical access / window / feedthrough mount ↔ beam alignment,Optics / cryostat,Laser beam delivery through cryostat boundary,A/D,Beam alignment < 10 µm drift after cooldown; viewport heat load < 1 nW,Room-T viewport flange,Cryogenic interior,Viewport body (thermal mass),Bolted to cryostat flange; antireflection coated,Viewport thermal load (radiation),Rigid mount,None (photons),Viewport radiation heat load; beam misalignment after cooldown,Viewport heat-load measurement; beam alignment check post-cooldown,DESIGN_SPECIFIED,"D6,D7,D14",Beam blocked; excess heat load,NO,Viewport radiation load [DESIGN_SPECIFIED; not measured]
I046,QCM mount ↔ chamber mechanical reference,Diagnostics / chamber,Stable QCM position relative to sample,B/D,QCM position stable to < 1 mm; vibration decoupled from sample,Chamber wall (4K or warmer),QCM crystal,TBD,Bolted to chamber wall,Through mount body,Chamber wall vibration → QCM,None,Vibration coupling from chamber to QCM → frequency noise,QCM vibration noise test; frequency stability at operating T,DESIGN_SPECIFIED,"B5,D11",QCM drifts from vibration,NO,QCM vibration decoupling [DESIGN_SPECIFIED; UNKNOWN]
I047,PMB mount ↔ line-of-sight geometry,Helium dosing / chamber,PMB aligned to sample; stable geometry,D,Line-of-sight from PMB nozzle to sample within ±5°; position stable after cooldown,Chamber flange (room T),PMB nozzle (cryogenic),TBD,Flanged to chamber,Through mount body,Chamber vibration,He-3 gas path,Cooldown misalignment of PMB relative to sample,Geometry verification post-cooldown; flux calibration,DESIGN_SPECIFIED,D11,Dose misses sample,NO,[DESIGN_SPECIFIED]
I048,Cryo-baffle mount ↔ shuttered isolation geometry,Helium dosing / chamber,Baffle mounted for effective line-of-sight shielding,D,Shutter covers full solid angle from PMB to sample; stable after cooldown,Chamber wall,Baffle body (cryogenic),TBD,Bolted to chamber wall,Through mount body,Chamber vibration,None,Shutter misalignment after cooldown,Geometry verification; shutter timing test at cryogenic T,DESIGN_SPECIFIED,D11,Baffle does not shield sample correctly,NO,[DESIGN_SPECIFIED]
I049,Vibration sensor mount ↔ sample-stage PSD measurement,Diagnostics / vibration,Sensor at correct location to measure sample-stage PSD,ALL,Sensor at sample-stage node or co-located within 10 mm,Chamber wall or sample stage,Sensor body,TBD,Bolted to measurement point; rigid mount,Through mount body,Sensor stiffness,None,Sensor at wrong location → biased PSD reading,Verify sensor location; compare to accelerometer at MC flange,DESIGN_SPECIFIED,D17,S_vib unrepresentative of NV position,NO,[DESIGN_SPECIFIED]
I050,Temperature sensor mount ↔ true sample node,Diagnostics / thermal,Sensor at diamond/sample thermal node (not frame),ALL,Sensor thermal resistance to sample < G_eff/100,Sample stage (10mK),Sensor body,N/A,Epoxied or bolted to sample stage at diamond thermal node,Sensor body → sample stage,Through mount,None,"Sensor at frame → reads frame T, not sample T","Dual-sensor test: one at sample, one at frame; compare readings",DESIGN_SPECIFIED,D4,T_sample reading biased; G_eff measurement wrong,NO,Sensor placement at true thermal node is critical for step-response validity
I051,Mode B LCVD laser ↔ precursor beam path,Mode B optics / precursor delivery,Photolysis/pyrolysis at target,A,Beam coincident with PMB precursor at sample,Optical bench (room T),Growth zone (cryogenic),"TBD (viewport, intercepts)",Optical mount on bench,Free-space through viewport,None (optical),None,Beam-precursor misalignment; cryocondensation upstream of target,Beam alignment + condensation map by witness coupon,DESIGN_SPECIFIED,"A6,A8",LCVD does not occur at target,NO,Mode B LCVD interface; separate from Mode D optics.
I052,Growth thermal dump switch ↔ 1K/4K dump stage,Mode B thermal dump,Absorb Mode B (growth) heat away from MC,A,G_growth_to_dump >> G_growth_to_MC_leak,4K plate or 1K plate,Growth-stage carrier,N/A,Heat switch + bolted thermal link,Switch closed in Mode A; OFHC Cu link,Through switch body,None,Insufficient G_growth_to_dump → MC heats during Mode B,Step-response per dump path,NOT_INSTALLED,A12,MC heat leak exceeds budget during Mode B,NO,New hardware required for Mode B. NOT_INSTALLED.
I053,Radiation shutter stack ↔ 10mK region,Mode B thermal protection,Block radiation from growth zone to 10mK,A,Shutter closed during Mode B; transmission < TBD,Mechanism actuator (warm),10 mK region,"4K, 1K stages",Bolted shutter mount,Shutter body absorbs/reflects,Actuator vibration to chamber,None,Shutter leak; vibration coupling; actuator wear,Radiation transmission test + vibration PSD with shutter cycling,NOT_INSTALLED,A12,10mK region heated by growth radiation,NO,New hardware required for Mode B. NOT_INSTALLED.
I054,Growth-zone thermometry ↔ Mode B thermal solve,Mode B diagnostics,"Real-time T_growth, T_MC, T_dump during Mode B",A,"Sensors at growth surface, sample bulk, MC, 1K, 4K stages",Bridge electronics (room T),Sample stage / growth zone,Each cryogenic stage,Bolted/epoxied at each location,Wire conduction (anchored),Through mount,None,Sensor at wrong node; wire heat load uncontrolled,Calibration vs NIST-traceable; sensor placement verification,NOT_INSTALLED,"A8,A12",Cannot validate Mode B thermal solve,NO,New hardware required for Mode B.
I055,Witness coupon (sensing zone) ↔ Mode B contamination audit,Diagnostics / sample,Post-Mode-A contamination characterization,A,Coupon in sensing zone receives same gas environment as sample,Loadlock or in-situ transfer,Sensing-zone position,TBD,Loadlock or in-situ holder,N/A (post-cycle removal for ex-situ),Coupon vibration,Post-Mode-A coupon transport,Coupon contaminated during transfer; not representative,"Coupon characterization (AFM, Raman, XPS) post-cycle",NOT_INSTALLED,"A9,A10",Cannot quantify cross-contamination,NO,New hardware required for Mode B.
I056,IL-14 LCVD/helium hardware interlock,Control system / safety,Forbid LCVD_on AND helium_present,A/D,Hardwired interlock; fail-safe; testable,Interlock controller (room T),Valve actuators + laser shutter,N/A,Wired to interlock controller,Electrical,None,None,Interlock failure allows He during LCVD,Interlock test: assert IMPOSSIBLE state cannot be reached,NOT_INSTALLED,A14,He present during LCVD; LCVD chemistry corrupted,NO,IL-14: LCVD_on AND helium_film_present = IMPOSSIBLE.
I057,radiation shutter stack <-> 10 mK sample region,SHIELD-001/002/003 / 10 mK stage,closed radiation barrier with measured leakage budget,D,shutter must close cleanly; leakage measured,,,,,,,,,Radiometric sample-stage heat load with shutter closed; baffle thermometry,BLOCKED,Shield-RAD; C4,Mode D blocked until measured,NO,added by shielding/mode-separation hardening pass
I058,RF-tight sample can <-> coax/microwave filters,SHIELD-004 / SHIELD-005,filters terminate inside RF-tight enclosure,D,all penetrations thermally anchored; RF integrity verified,,,,,,,,,Closed-can vs open-can NV baseline; RF noise floor at NV frequencies,BLOCKED,Shield-RF,Mode D blocked until measured,NO,added by shielding/mode-separation hardening pass
I059,IR/HF filters <-> thermal anchors,SHIELD-005 / cryogenic stages,staged anchoring at 50 K/4 K/1 K/100 mK/10 mK,D,each filter body at its assigned stage temperature,,,,,,,,,Per-stage filter-body thermometry during RF operation,BLOCKED,Shield-RF,Mode D blocked until measured,NO,added by shielding/mode-separation hardening pass
I060,optical apertures <-> cold beam dumps,SHIELD-006 / SHIELD-007,aperture chain feeds beam dump at higher-capacity stage,D,no overflow to 10 mK stage; LOS verified,,,,,,,,,Per-stage beam-dump absorbed-power measurement; LOS audit,BLOCKED,Shield-OPT,Mode D blocked until measured,NO,added by shielding/mode-separation hardening pass
I061,dirty process shutter <-> sacrificial cryopanel,SHIELD-008 / SHIELD-009,two-zone shutter with cryopanel between dirty and clean sides,B-C,sacrificial panel captures Mode B residue before clean shutter,,,,,,,,,Clean-side coupon after repeated Mode B exposures; QCM tracking,BLOCKED,Shield-CHEM,Mode D blocked until measured,NO,added by shielding/mode-separation hardening pass
I062,clean sensing shutter <-> Mode D sensing volume,SHIELD-008 clean half / Mode D volume,final barrier protecting Mode D region,D,clean side must remain within Mode D contamination spec,,,,,,,,,Witness coupon on clean side; RGA at Mode D entry,BLOCKED,Shield-CHEM; C_to_D_Readiness,Mode D blocked until measured,NO,added by shielding/mode-separation hardening pass
I063,magnetic shield <-> NV bias coils,SHIELD-010 / NV bias geometry,shield must preserve calibrated NV bias-field geometry,D,noise reduced; bias stable; ODMR-compatible,,,,,,,,,Field map with shield in/out; NV ODMR baseline before/after,BLOCKED,Shield-MAG,Mode D blocked until measured,NO,added by shielding/mode-separation hardening pass
I064,superconducting shield <-> cooldown field history,SHIELD-011 (optional) / cooldown sequence,controlled-field cooldown; trapped-flux mapped before adoption,D (optional),no trapped flux above NV bias tolerance,,,,,,,,,Controlled-field cooldown; trapped-flux assessment,BLOCKED,Shield-MAG,Mode D blocked until measured,NO,added by shielding/mode-separation hardening pass
I065,cryo-baffles <-> Mode C recovery,SHIELD-002 / Mode C sequence,baffles capture residual species during Mode C purge,C,capture efficiency measured by witness coupon and RGA,,,,,,,,,Witness coupon and RGA after Mode B exposure,BLOCKED,Shield-CHEM; C_to_D_Readiness,Mode D blocked until measured,NO,added by shielding/mode-separation hardening pass
I066,cryopanels <-> RGA/QCM/witness-coupon validation,SHIELD-009 + PANEL-* / instrumentation,panel performance verified by species-resolved RGA + QCM + coupon analysis,C,saturation and regeneration measured,,,,,,,,,Per-species RGA + QCM through full cycle; saturation/regeneration test,BLOCKED,Shield-CHEM,Mode D blocked until measured,NO,added by shielding/mode-separation hardening pass
I067,Mode B growth region <-> Mode C purge/recovery stack,Mode B / Mode C sequence,process region feeds into purge/recovery on B->C transition,B->C,all process gas lines isolated before C-mode operations begin,,,,,,,,,mode_transition_acceptance_tests.csv row T-B2C,BLOCKED,C_to_D_Readiness,Mode D blocked until measured,NO,added by shielding/mode-separation hardening pass
