gap_id,claim_or_parameter,current_status,why_gap_matters,affected_gate_or_risk,required_source_or_measurement,recommended_next_action
G012,Bibliography coverage: NV review (WrachtrupJelezko2006),NO DIRECT CITATION,NV physics foundational reference,source coverage; affects reviewer confidence,Add direct citation of WrachtrupJelezko2006 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G013,Bibliography coverage: NV magnetic resonance detection (StaudacherScience2013),NO DIRECT CITATION,NV detection of nuclear spins,source coverage; affects reviewer confidence,Add direct citation of StaudacherScience2013 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G014,Bibliography coverage: NV magnetic resonance detection (MaminScience2013),NO DIRECT CITATION,NV detection of nuclear spins,source coverage; affects reviewer confidence,Add direct citation of MaminScience2013 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G015,Bibliography coverage: NV ensemble coherence (BalasubramanianNatMater2009),NO DIRECT CITATION,shallow NV / ensemble coherence,source coverage; affects reviewer confidence,Add direct citation of BalasubramanianNatMater2009 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G016,Bibliography coverage: NV detection methodology (MuellerNatComm2014),NO DIRECT CITATION,NV sensing methodology,source coverage; affects reviewer confidence,Add direct citation of MuellerNatComm2014 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G017,Bibliography coverage: NV magnetometry (StaudacherNatPhys2015),NO DIRECT CITATION,NV magnetometry constraints,source coverage; affects reviewer confidence,Add direct citation of StaudacherNatPhys2015 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G018,Bibliography coverage: NV experiments (GolterLukin2014),NO DIRECT CITATION,NV optical control,source coverage; affects reviewer confidence,Add direct citation of GolterLukin2014 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G019,Bibliography coverage: NV decoherence / Ramsey / T2* (deLangeScience2010),NO DIRECT CITATION,NV T2* decoherence,source coverage; affects reviewer confidence,Add direct citation of deLangeScience2010 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G020,Bibliography coverage: NV ensemble physics (AcostaEtAl2010),NO DIRECT CITATION,NV ensemble properties,source coverage; affects reviewer confidence,Add direct citation of AcostaEtAl2010 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G021,Bibliography coverage: NV coherence (BalasubramanianNature2008),NO DIRECT CITATION,NV coherence at long times,source coverage; affects reviewer confidence,Add direct citation of BalasubramanianNature2008 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G022,Bibliography coverage: CPW microwave delivery (BlankAPL1999),NO DIRECT CITATION,CPW design,source coverage; affects reviewer confidence,Add direct citation of BlankAPL1999 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G023,Bibliography coverage: CPW losses at low T (GaoCPW2007),NO DIRECT CITATION,CPW cryogenic performance,source coverage; affects reviewer confidence,Add direct citation of GaoCPW2007 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G024,Bibliography coverage: cryogenic CPW losses (Yeh2017),NO DIRECT CITATION,CPW heat load characterisation,source coverage; affects reviewer confidence,Add direct citation of Yeh2017 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G025,Bibliography coverage: spin-noise spectroscopy (CrookerPRL2004),NO DIRECT CITATION,spin-noise detection methodology,source coverage; affects reviewer confidence,Add direct citation of CrookerPRL2004 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G026,Bibliography coverage: He-3 measurements (GreywallPRB1990),NO DIRECT CITATION,He-3 surface dynamics,source coverage; affects reviewer confidence,Add direct citation of GreywallPRB1990 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G027,Bibliography coverage: He-3 surface physics (Godfrin1995),NO DIRECT CITATION,He-3 / He-4 surface behaviour,source coverage; affects reviewer confidence,Add direct citation of Godfrin1995 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G028,Bibliography coverage: modern vacuum physics reference (ChambersMVP2005),NO DIRECT CITATION,vacuum-system design,source coverage; affects reviewer confidence,Add direct citation of ChambersMVP2005 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G029,Bibliography coverage: Knudsen flow foundational paper (Knudsen1909),NO DIRECT CITATION,molecular-flow regime,source coverage; affects reviewer confidence,Add direct citation of Knudsen1909 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G030,Bibliography coverage: atomic / molecular beam methods (Scoles1988),NO DIRECT CITATION,molecular beam dosing methodology,source coverage; affects reviewer confidence,Add direct citation of Scoles1988 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G031,Bibliography coverage: bakeout effectiveness (CalderLewin1967),NO DIRECT CITATION,bakeout protocol design,source coverage; affects reviewer confidence,Add direct citation of CalderLewin1967 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G032,Bibliography coverage: outgassing rates (Dylla1993),NO DIRECT CITATION,outgassing characterisation,source coverage; affects reviewer confidence,Add direct citation of Dylla1993 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G033,Bibliography coverage: QCM coverage tracking (VoinovaPSS1999),NO DIRECT CITATION,QCM calibration,source coverage; affects reviewer confidence,Add direct citation of VoinovaPSS1999 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G034,Bibliography coverage: diamond optical absorption (GrimdischPRB1975),NO DIRECT CITATION,diamond optical properties,source coverage; affects reviewer confidence,Add direct citation of GrimdischPRB1975 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G035,Bibliography coverage: NV implantation (Pezzagna2010),NO DIRECT CITATION,NV creation by ion implantation,source coverage; affects reviewer confidence,Add direct citation of Pezzagna2010 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G036,Bibliography coverage: CVD diamond growth (ButlerDRM2009),NO DIRECT CITATION,"CVD diamond growth, LCVD baseline",source coverage; affects reviewer confidence,Add direct citation of ButlerDRM2009 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G037,Bibliography coverage: diamond surface chemistry (OsawaDRM2007),NO DIRECT CITATION,diamond surface properties,source coverage; affects reviewer confidence,Add direct citation of OsawaDRM2007 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G038,Bibliography coverage: LCVD processes (GrotjohnDRM1994),NO DIRECT CITATION,LCVD process baseline,source coverage; affects reviewer confidence,Add direct citation of GrotjohnDRM1994 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G039,Bibliography coverage: NV ensemble characterisation (BrownPRB2016),NO DIRECT CITATION,NV ensemble characterisation,source coverage; affects reviewer confidence,Add direct citation of BrownPRB2016 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G040,Bibliography coverage: NV implantation methods (Siqueira2012),NO DIRECT CITATION,NV creation methodology,source coverage; affects reviewer confidence,Add direct citation of Siqueira2012 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G041,Bibliography coverage: solid-state textbook (Kittel2005),NO DIRECT CITATION,general solid-state baseline,source coverage; affects reviewer confidence,Add direct citation of Kittel2005 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G042,Bibliography coverage: thermal physics textbook (KittelKroemer1980),NO DIRECT CITATION,general thermal-physics baseline,source coverage; affects reviewer confidence,Add direct citation of KittelKroemer1980 (or equivalent) at the specific manuscript paragraph that makes a claim it supports.,Reviewer adds citation at appropriate paragraph (or selects alternative reference); no fake citations were inserted by the package owner.
G043,C_contr_10mK — NV ODMR contrast at 10 mK,INDIRECT,literature supports related claim but not this exact value,see action_needed in source_map.csv row,Measure ODMR at 10 mK on this sample,See source_map.csv for full detail.
G044,G_eff — T_s=T_fridge+P_total/G_eff,INDIRECT,literature supports related claim but not this exact value,see action_needed in source_map.csv row,Step-response after Ag sinter fabrication,See source_map.csv for full detail.
G045,Ag_sinter_area — 45 cm² design,UNKNOWN,parameter has no identified source; cannot be evaluated,see action_needed in source_map.csv row,Fabricate; measure actual area,See source_map.csv for full detail.
G046,Ag_sinter_fabrication_status — Not fabricated,UNKNOWN,parameter has no identified source; cannot be evaluated,see action_needed in source_map.csv row,Fabricate Ag sinter on diamond substrate,See source_map.csv for full detail.
G047,Kevlar_49_thermal_conductivity — κ≈5e-4 W/m/K at 10 mK,INDIRECT,literature supports related claim but not this exact value,see action_needed in source_map.csv row,Measure fiber conductance via step-response after fabrication,See source_map.csv for full detail.
G048,Kevlar_end_termination_strength — Crimp/epoxy termination,UNKNOWN,parameter has no identified source; cannot be evaluated,see action_needed in source_map.csv row,Slip test at cryogenic T after 10 thermal cycles,See source_map.csv for full detail.
G049,G10CR_thermal_conductivity — κ from Woodcraft tabulation,INDIRECT,literature supports related claim but not this exact value,see action_needed in source_map.csv row,Measure actual flexure conductance,See source_map.csv for full detail.
G050,G10CR_flexure_properties — Flexure stiffness/lateral compliance,UNKNOWN,parameter has no identified source; cannot be evaluated,see action_needed in source_map.csv row,Stiffness measurement; cooldown cycle test,See source_map.csv for full detail.
G051,thermal_intercept_clamps — Staged at 4K/1K/100mK/10mK,UNKNOWN,parameter has no identified source; cannot be evaluated,see action_needed in source_map.csv row,Contact-resistance measurement per stage,See source_map.csv for full detail.
G052,anchor_block_conductance — Low-Rcontact via gold plating,UNKNOWN,parameter has no identified source; cannot be evaluated,see action_needed in source_map.csv row,Step-response measurement per block,See source_map.csv for full detail.
G053,P_support_hybrid — P_support≈0.167 nW (Kevlar/G-10CR),ASSUMED,parameter value assumed; no measurement; may not generalize,see action_needed in source_map.csv row,Fabricate; step-response thermometry,See source_map.csv for full detail.
G054,residual_H2_pressure — ~1e-10 Pa estimate,ASSUMED,parameter value assumed; no measurement; may not generalize,see action_needed in source_map.csv row,Execute bakeout + RGA,See source_map.csv for full detail.
G055,H2_coverage — theta=Phi*t/n_mono kinetic theory,ASSUMED,parameter value assumed; no measurement; may not generalize,see action_needed in source_map.csv row,Bakeout + RGA + coverage model,See source_map.csv for full detail.
G056,bakeout_temperature — 250°C UHV bakeout,INDIRECT,literature supports related claim but not this exact value,see action_needed in source_map.csv row,Execute bakeout; log temperature,See source_map.csv for full detail.
G057,bakeout_duration — 48 h,INDIRECT,literature supports related claim but not this exact value,see action_needed in source_map.csv row,Execute bakeout; log duration,See source_map.csv for full detail.
G058,cryotrap_performance — 77 K charcoal,INDIRECT,literature supports related claim but not this exact value,see action_needed in source_map.csv row,Install + measure pumping speed,See source_map.csv for full detail.
G059,RGA_sensitivity — FC-corrected species pressure,UNKNOWN,parameter has no identified source; cannot be evaluated,see action_needed in source_map.csv row,Install RGA; calibrate FC factor,See source_map.csv for full detail.
G060,QCM_noise_floor — Sub-0.1 Hz required at cryogenic T,REQUIRES_EXPERIMENT,parameter cannot be resolved by literature alone,see action_needed in source_map.csv row,Cryogenic QCM noise floor test,See source_map.csv for full detail.
G061,QCM_stability — Drift rate at operating T,REQUIRES_EXPERIMENT,parameter cannot be resolved by literature alone,see action_needed in source_map.csv row,Cryogenic drift test,See source_map.csv for full detail.
G062,PMB_flux — Pulsed molecular beam source,INDIRECT,literature supports related claim but not this exact value,see action_needed in source_map.csv row,Install PMB; calibrate flux vs pressure,See source_map.csv for full detail.
G063,PMB_dose — Dose per pulse,UNKNOWN,parameter has no identified source; cannot be evaluated,see action_needed in source_map.csv row,Define and calibrate dose protocol,See source_map.csv for full detail.
G064,cryo_baffle_shutter_timing — Actuation time at cryogenic T,REQUIRES_EXPERIMENT,parameter cannot be resolved by literature alone,see action_needed in source_map.csv row,Test shutter timing at cryogenic T,See source_map.csv for full detail.
G065,cryo_baffle_thermal_load — Radiation load to sample,REQUIRES_EXPERIMENT,parameter cannot be resolved by literature alone,see action_needed in source_map.csv row,Measure baffle radiation load to sample,See source_map.csv for full detail.
G066,independent_3He_line — Isolated dose line,UNKNOWN,parameter has no identified source; cannot be evaluated,see action_needed in source_map.csv row,Fabricate; leak-test; RGA-verify isolation,See source_map.csv for full detail.
G067,independent_4He_line — Isolated reference line,UNKNOWN,parameter has no identified source; cannot be evaluated,see action_needed in source_map.csv row,Fabricate; leak-test,See source_map.csv for full detail.
G068,CH4_process_line — LCVD precursor delivery,UNKNOWN,parameter has no identified source; cannot be evaluated,see action_needed in source_map.csv row,Fabricate; verify Mode A isolation,See source_map.csv for full detail.
G069,purge_line — Mode B inert purge + scroll pump,UNKNOWN,parameter has no identified source; cannot be evaluated,see action_needed in source_map.csv row,Fabricate; test pumpout efficiency,See source_map.csv for full detail.
G070,gas_isolation_leak_rate — <1e-10 Pa m3/s target,REQUIRES_EXPERIMENT,parameter cannot be resolved by literature alone,see action_needed in source_map.csv row,Leak test all gas lines,See source_map.csv for full detail.
G071,eta_abs — 0.05 estimate,INDIRECT,literature supports related claim but not this exact value,see action_needed in source_map.csv row,Transmission/reflection at 532 nm,See source_map.csv for full detail.
G072,E_pulse — 10 fJ design,UNKNOWN,parameter has no identified source; cannot be evaluated,see action_needed in source_map.csv row,Measure at sample,See source_map.csv for full detail.
G073,tau_pulse — 100 fs design,UNKNOWN,parameter has no identified source; cannot be evaluated,see action_needed in source_map.csv row,Pulse characterization (autocorrelator),See source_map.csv for full detail.
G074,f_rep — 1 MHz design,UNKNOWN,parameter has no identified source; cannot be evaluated,see action_needed in source_map.csv row,Measure actual rep rate,See source_map.csv for full detail.
G075,Pockels_cell — Replaces AOM for fs gating,UNKNOWN,parameter has no identified source; cannot be evaluated,see action_needed in source_map.csv row,Install; test at operating rep rate,See source_map.csv for full detail.
G076,microwave_dissipation — P_mw=1 nW assumed,ASSUMED,parameter value assumed; no measurement; may not generalize,see action_needed in source_map.csv row,Directional coupler measurement + step-response,See source_map.csv for full detail.
G077,microwave_attenuation_chain — Staged attenuators at 4K/1K/100mK/10mK,UNKNOWN,parameter has no identified source; cannot be evaluated,see action_needed in source_map.csv row,Install; verify attenuation and heat load,See source_map.csv for full detail.
G078,cryogenic_wiring_heat_load — P_cond=2.46 nW assumed,INDIRECT,literature supports related claim but not this exact value,see action_needed in source_map.csv row,Step-response thermometry,See source_map.csv for full detail.
G079,temperature_sensor_calibration — RuO2 calibration,UNKNOWN,parameter has no identified source; cannot be evaluated,see action_needed in source_map.csv row,Calibrate vs NIST-traceable standard,See source_map.csv for full detail.
G080,heater_step_response_power — G_eff measurement protocol,UNKNOWN,parameter has no identified source; cannot be evaluated,see action_needed in source_map.csv row,Install heater; perform step-response,See source_map.csv for full detail.
G081,vibration_to_heat_conversion — Mode-local model within Mode D,REQUIRES_EXPERIMENT,parameter cannot be resolved by literature alone,see action_needed in source_map.csv row,Model + measurement,See source_map.csv for full detail.
G082,d_NV — d_NV=10 nm SRIM target,INDIRECT,literature supports related claim but not this exact value,see action_needed in source_map.csv row,SIMS or PL depth post-implant,See source_map.csv for full detail.
G083,NV_density — Design target,UNKNOWN,parameter has no identified source; cannot be evaluated,see action_needed in source_map.csv row,PL counting,See source_map.csv for full detail.
G084,T2_star — 10 µs literature range,INDIRECT,literature supports related claim but not this exact value,see action_needed in source_map.csv row,Ramsey in cryostat on this sample,See source_map.csv for full detail.
G085,T2 — UNKNOWN,REQUIRES_EXPERIMENT,parameter cannot be resolved by literature alone,see action_needed in source_map.csv row,Hahn echo in cryostat,See source_map.csv for full detail.
G086,surface_spin_density — n_s=3.3e18 m^-2 from graphite analogy,INDIRECT,literature supports related claim but not this exact value,see action_needed in source_map.csv row,TPD or QCM on F-diamond,See source_map.csv for full detail.
G087,surface_termination — F-termination via XeF2 or CF4 plasma,UNKNOWN,parameter has no identified source; cannot be evaluated,see action_needed in source_map.csv row,XPS + AFM post-termination,See source_map.csv for full detail.
G088,molecular_flux — UNKNOWN,REQUIRES_EXPERIMENT,parameter cannot be resolved by literature alone,see action_needed in source_map.csv row,PMB flux calibration,See source_map.csv for full detail.
G089,LCVD_precursor — CH4 + fs laser,UNKNOWN,parameter has no identified source; cannot be evaluated,see action_needed in source_map.csv row,Develop LCVD process,See source_map.csv for full detail.
G090,"LCVD_process_isolation — Hardware interlock (IL-01, IL-02)",UNKNOWN,parameter has no identified source; cannot be evaluated,see action_needed in source_map.csv row,Install interlocks; test mode transitions,See source_map.csv for full detail.
G091,LCVD_surface_damage — UNKNOWN at 10 mK,REQUIRES_EXPERIMENT,parameter cannot be resolved by literature alone,see action_needed in source_map.csv row,Test LCVD on dummy sample; XPS before/after,See source_map.csv for full detail.
G092,C13_diamond — Not demonstrated,REQUIRES_EXPERIMENT,parameter cannot be resolved by literature alone,see action_needed in source_map.csv row,Separate development program,See source_map.csv for full detail.
G093,graphene_CNT — Future work only,REQUIRES_EXPERIMENT,parameter cannot be resolved by literature alone,see action_needed in source_map.csv row,Independent validation outside this framework,See source_map.csv for full detail.
G094,tau_c at 10 mK on actual diamond/³He surface,UNKNOWN,PRIMARY BOTTLENECK — canonical 292 µs threshold cannot be evaluated without measurement,D13 (Detection SNR); MC forecast; all downstream gates,In-system measurement of τ_c on real diamond at base temperature with controlled ³He coverage.,See FIRST_VALIDATION_EXPERIMENTS.md item C.
G095,C_contr at 10 mK,UNKNOWN,CO-EQUAL BOTTLENECK with τ_c — assumed values not verified at base temperature,"D13, D14, D12_G23",ODMR contrast measurement on the actual diamond at 10 mK with proposed readout geometry.,See FIRST_VALIDATION_EXPERIMENTS.md item A.
G096,³He vs ⁴He surface decoherence separability,UNKNOWN,Sensing premise relies on this being measurable above other decoherence sources,D11; τ_c interpretation,Paired ³He / ⁴He coverage measurement on same diamond.,See FIRST_VALIDATION_EXPERIMENTS.md item B.
G097,Mode B LCVD deposition yield per pulse,UNKNOWN,PRIMARY UNKNOWN for LCVD feasibility — no measurement; cannot evaluate growth viability,A9; A11; A10,Witness coupon + QCM + AFM/Raman/XPS after Mode B pulse train.,See FIRST_VALIDATION_EXPERIMENTS.md item F.
G098,Local surface T during Mode B LCVD pulse,UNKNOWN,Photolysis/pyrolysis condition unverifiable without this,A8,Pump-probe or fast thermometric measurement at growth surface.,See FIRST_VALIDATION_EXPERIMENTS.md.
G099,G_eff (silver-sinter heat-exchanger boundary conductance at 10 mK),ASSUMED,Used in thermal model; sinter not fabricated; value taken from Kapitza model,D3 and all derived heat-budget gates,Step-response measurement after sinter installation.,Listed in source_map.csv; see also assumed_parameters.json.
G100,Full source audit,UNKNOWN,Audit is REPRESENTATIVE_ONLY (7 rows); full audit requires ~100+ rows covering every numerical parameter,Submission readiness; reviewer trust,Complete the audit by tracing every numerical claim through to its strongest available source.,See source_audit_status.txt; package is explicitly INCOMPLETE on this dimension.
