gate_id,gate_name,mode,gate_status,can_PASS_now,forecast_failure_rate,dominant_failure_inputs,measured_in_this_system,notes
D7,Laser Transient — T_peak vs T_baseline,SENSE,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
D8,Sequence Timing (sv.tau_pi2),SENSE,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
D9,Molecular Flow (sv.Kn_He; gas Knudsen number),SENSE,DERIVED_CHECK,NO,0.0% (derived check),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
D10a,H2 Engineering Readiness (bakeout+NEG+cryotrap+RGA),SENSE,BLOCKED,NO,100% (hardware/measurement not present),see status_reason,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
D10b,H2 Physical Result (from actual P_H2; blocked if D10a not done),SENSE,BLOCKED,NO,100% (hardware/measurement not present),see status_reason,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
D11,He-3 Coverage (sv.n_s),SENSE,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
D12_G23,NV Charge State (UNKNOWN; not derivable),SENSE,UNKNOWN,NO,100% (hardware/measurement not present),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
D13,Detection SNR (sv; pulse dephasing included),SENSE,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
D14,"Optical Collection (sv.tau_pi2, T2e)",SENSE,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
D15,Rabi Control (sv.Omega_R),SENSE,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
D16,MW Heating (sv.P_mw/sv.G_eff; both ASSUMED),SENSE,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
D17,Vibration (sv.S_vib; Helmholtz),SENSE,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
D18,Mode-Local Secondary Thermal Feedback (all within Mode D),SENSE,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
E01,250°C/48h UHV Bakeout,PRECONDITION,BLOCKED,NO,100% (hardware/measurement not present),see status_reason,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
E02,SAES St707 NEG Pump,PRECONDITION,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
E03,77K Charcoal Cryotrap,PRECONDITION,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
E04,RGA Engineering Readiness (hardware installed; all-species protocol exercised; FC-corrected),PRECONDITION,BLOCKED,NO,100% (hardware/measurement not present),see status_reason,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
E05,Ag Sinter Thermal Interface (45cm²),PRECONDITION,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
E06,Kevlar/G10 Intercepted Suspension,PRECONDITION,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
E07,Independent Per-Species Gas Delivery Lines (×5),PRECONDITION,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
E08,Shuttered Cryo-Baffle / Molecular Beam Shutter,PRECONDITION,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
E09,MW Attenuation and Thermal Anchoring (Thermocoax + RC filters),PRECONDITION,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
E10,Vibration Isolation (Helmholtz geometry + pneumatic table),PRECONDITION,CONDITIONAL,NO,NOT_QUANTIFIED (forecast only),N/A,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
E11,Optical Collection Calibration (eta_col in cryostat),PRECONDITION,BLOCKED,NO,100% (hardware/measurement not present),see status_reason,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
E12,NV Charge-State Validation at 10mK (C_contr measurement),PRECONDITION,BLOCKED,NO,100% (hardware/measurement not present),see status_reason,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
E13,Rabi Calibration in Cryostat (Omega_R measurement),PRECONDITION,BLOCKED,NO,100% (hardware/measurement not present),see status_reason,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
E14,Ramsey T2* and tau_c Measurement (He-3 vs He-4 control),PRECONDITION,BLOCKED,NO,100% (hardware/measurement not present),see status_reason,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
Shield-RAD,Measured radiation load into 10 mK below Mode D budget,PRECONDITION,BLOCKED,NO,100% (hardware/measurement not present),see status_reason,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
Shield-RF,Microwave/RF leakage below Mode D heat AND dephasing budget,PRECONDITION,BLOCKED,NO,100% (hardware/measurement not present),see status_reason,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
Shield-OPT,No direct optical line-of-sight to 10 mK and optical scatter below budget,PRECONDITION,BLOCKED,NO,100% (hardware/measurement not present),see status_reason,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
Shield-MAG,"Magnetic noise reduced while NV bias field remains stable, calibrated, ODMR-compatible",PRECONDITION,BLOCKED,NO,100% (hardware/measurement not present),see status_reason,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
Shield-CHEM,Cryopanel/baffle/shutter stack prevents Mode B chemical memory from reaching Mode D,PRECONDITION,BLOCKED,NO,100% (hardware/measurement not present),see status_reason,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
C_to_D_Readiness,Composite: Mode D entry requires every Mode C readiness sub-condition satisfied,PRECONDITION,BLOCKED,NO,100% (hardware/measurement not present),see status_reason,false,Forecast Monte Carlo cannot create PASS; physical gate remains BLOCKED/CONDITIONAL until measured.
