risk_id,risk,affected_subsystem,failure_mode,likelihood,severity,current_status,mitigation,required_measurement,gate_impact,can_PASS_now,unresolved,notes
R016,3He/4He isotope purity unverified,Gas quality,Isotope contrast diluted by contamination,MEDIUM,HIGH,DESIGN_SPECIFIED,Verify He-3 purity by RGA or mass-spec,Purity verification,D13,NO,YES,
R017,CH4 backstreaming into sensing path,Vacuum,C_contr degraded; NV charge state disrupted,MEDIUM,HIGH,DESIGN_SPECIFIED,Install check valves; IL-02 interlock; verify isolation,RGA after Mode B cycle,"D2,D12",NO,YES,
R018,Interlock failure allows forbidden mode overlap,Control,LCVD during sensing → thermal overload + contamination,LOW,CRITICAL,DESIGN_SPECIFIED,Install fail-safe hardwired interlocks; test,Interlock response test,"D1,A5",NO,YES,Currently architectural only. No physical interlock installed.
R019,Mode B to Mode D purge incomplete,Transitions,CH4 residual above threshold in Mode D,MEDIUM,HIGH,DESIGN_SPECIFIED,Define purge protocol; verify by RGA,RGA post-purge,"D2,B1",NO,YES,
R020,Mode C recooling incomplete,Transitions,T_sample not recovered before Mode D,MEDIUM,HIGH,DESIGN_SPECIFIED,Define recool criteria; verify by RuO2 reading,Temperature monitoring,"C1,C3",NO,YES,
R021,eta_abs unknown,Optical,Excess heating or insufficient excitation,HIGH,HIGH,ASSUMED,Transmission/reflection measurement at 532 nm,Optical measurement,"D6,D7",NO,YES,eta_abs=0.05 [ASSUMED]. Range 0.01-0.15.
R022,Femtosecond transient heating unmeasured,Optical,T_peak causes NV degradation or decoherence,MEDIUM,HIGH,ASSUMED,Pump-probe in cryostat,Pump-probe thermal measurement,D7,NO,YES,T_peak model: 673 mK transient [ASSUMED eta_abs]. Ballistic phonon model uncertainty.
R023,AOM cannot gate fs pulses,Optical,Individual pulse energy uncontrolled,HIGH,MEDIUM,DESIGN_SPECIFIED (REJECTED),Use Pockels cell or pulse picker,Install Pockels cell; test,D7,NO,YES,AOM switching ~100 ns incompatible with 100 fs pulses. Pockels cell specified (BOM B023).
R024,Pockels cell not installed,Optical,Ultrafast gating not available,HIGH,MEDIUM,DESIGN_SPECIFIED,Install Pockels cell; test at rep rate,Install + timing test,D7,NO,YES,
R025,Microwave dissipation at CPW unknown,Microwave,ΔT_mw exceeds budget → Mode D gates fail,MEDIUM,MEDIUM,ASSUMED,Directional coupler at base; Rabi calibration,P_mw measurement; Rabi calibration,"D8,D15,D16",NO,YES,P_mw=1 nW [ASSUMED]; ΔT_mw=100 µK (marginal vs 104 µK threshold)
R026,Vibration PSD at sample unknown,Vibration,S_vib exceeds model → dephasing exceeds bound,MEDIUM,MEDIUM,MANUFACTURER_SPEC,Install accelerometer at sample; measure PSD,In situ PSD at cold stage,"D17,D18",NO,YES,S_vib=1e-10 m²/Hz [MANUFACTURER_SPEC]; not measured at NV position
R027,Cryocooler vibration coupling,Vibration,Pulse tube vibration exceeds isolation,MEDIUM,MEDIUM,MANUFACTURER_SPEC,Measure at sample position,Vibration measurement at cold stage,D17,NO,YES,
R028,NV depth uncertainty,NV sample,Signal scales as d^-6; 2x depth = 64x signal loss,HIGH,HIGH,ASSUMED,SIMS or PL depth measurement post-implant,Depth measurement,"D9,D11,D13",NO,YES,d_NV=10 nm [ASSUMED from SRIM target]
R029,T2* unknown in actual sample,NV sample,Degraded Ramsey sensitivity,HIGH,HIGH,ASSUMED,Ramsey in cryostat on this sample,Ramsey measurement,"D8,D13,D15",NO,YES,T2*=10 µs [ASSUMED from literature range]
R030,Surface spin density unknown,NV sample,Signal scales with n_s; sticking unknown on F-diamond,HIGH,HIGH,ASSUMED,TPD or QCM on F-diamond,Coverage measurement,"D11,D13",NO,YES,n_s=3.3e18 m^-2 [ASSUMED from graphite analogy; INDIRECT]
R031,Diamond surface termination drift,NV sample,Termination reverts → sticking and tau_c change,MEDIUM,HIGH,DESIGN_SPECIFIED,XPS + AFM before and after cryogenic cycling,Surface characterization,"D11,D13",NO,YES,
R032,Helium adsorption model extrapolated,NV detection,"tau_c, n_s, sticking all unknown on F-diamond",HIGH,CRITICAL,ASSUMED,Experiment on actual surface,He-3 Ramsey + coverage measurement,"D11,D13",NO,YES,All helium adsorption parameters extrapolated from graphite [INDIRECT]
R033,QCM Sauerbrey model invalid at cryogenic conditions,Diagnostics,QCM over- or underestimates coverage,MEDIUM,MEDIUM,DESIGN_SPECIFIED,Validate QCM model at operating T,Cryogenic calibration vs known coverage,"B5,D11",NO,YES,Sauerbrey formula [DIRECT for AT-cut]; viscoelastic corrections at low T [UNKNOWN]
R034,LCVD contamination memory effects,Vacuum,CH4 residuals persist into Mode D,MEDIUM,HIGH,DESIGN_SPECIFIED,Measure post-LCVD chamber P and species,RGA post-Mode B,"D2,B1",NO,YES,
R035,LCVD process not demonstrated,LCVD,Mode B unvalidated,CERTAIN (current state),HIGH,DESIGN_SPECIFIED,Develop and validate LCVD process mode,Process development program,ALL Mode B,NO,YES,LCVD at 10 mK is not demonstrated. Mode B is proposed only.
R036,C-13 diamond growth not demonstrated,LCVD,Isotopically pure material unachieved,CERTAIN,HIGH,DESIGN_SPECIFIED,Separate development program,C-13 CVD diamond fabrication program,Future work,NO,YES,Quarantined as speculative future work.
R037,Graphene/CNT future-work overclaim risk,Communication,Reviewer confusion about current scope,HIGH,MEDIUM,MANAGED (quarantined),Keep speculative extensions clearly labeled,None required,None,NO,PARTIALLY,Quarantine section included in manuscript v4.
R038,Source/citation incompleteness,Documentation,Claims appear unsupported,HIGH,MEDIUM,INCOMPLETE,Expand bibliography and source audit,Full source audit,ALL,NO,YES,Bibliography: 65 of 100-200+ target. representative_source_audit.csv: REPRESENTATIVE_ONLY.
R039,Simulation output path mismatch,Software,Packaged outputs stale vs sim output,MEDIUM,MEDIUM,UNVERIFIED,Fix output path; generate sync report,Run sim and compare outputs,ALL,NO,YES,
R040,best_operating_point naming implies achieved state,Documentation,User or reader misinterprets as achieved,MEDIUM,MEDIUM,MANAGED,Rename to best_forecast_operating_point; add forecast_only=true field,None,None,NO,PARTIALLY,
R041,No verified hardware sufficient for PASS,ALL,No gate can reach PASS currently,CERTAIN,INFO,CURRENT STATE,Install hardware; perform measurements,All required measurements,ALL,NO,YES,
R042,ModeStateVector convergence mistaken for validation,Software,Numeric convergence ≠ physical validation,HIGH,MEDIUM,MANAGED,Document in manuscript; add disclaimers to sim output,None (documentation),ALL,NO,PARTIALLY,
R043,Literature values treated as direct validation,Documentation,INDIRECT sources upgraded to DIRECT,HIGH,MEDIUM,MANAGED,Label all literature as INDIRECT in source_audit,Full source audit,ALL,NO,YES,
R044,Sample temperature sensor calibration unknown,Diagnostics,T_sample readings unreliable,MEDIUM,MEDIUM,DESIGN_SPECIFIED,Install RuO2; calibrate in-situ,Calibration vs NIST-traceable standard,"D4,C3",NO,YES,
R045,Thermal intercept performance unverified,Support architecture,Incomplete thermal stage separation,MEDIUM,HIGH,DESIGN_SPECIFIED,Fabricate intercepts; measure conductance,Step-response per intercept,"D3,E06",NO,YES,
R046,Kevlar/G-10 mechanical survivability unverified,Support architecture,Mechanical failure under thermal cycling,MEDIUM,MEDIUM,DESIGN_SPECIFIED,Thermal cycle test; inspect for fatigue,Mechanical test program,D3,NO,YES,
R047,Kevlar/G-10 support heat load unmeasured,Support architecture,P_support differs from model,MEDIUM,HIGH,ASSUMED,Fabricate; measure heat load,Step-response thermometry,D3,NO,YES,P_support≈0.167 nW [ASSUMED]
R048,Residual gas coverage calculation sensitivity,Vacuum,Model uncertainty in theta vs P relation,MEDIUM,MEDIUM,ASSUMED,Validate with QCM + RGA combined measurement,Coverage vs pressure measurement,"D10b,B4",NO,YES,s_H2=0.3 [ASSUMED]; range 0.1-0.9
R049,Helium dose and coverage unknown,Helium dosing,n_s deviates from model → signal differs,HIGH,HIGH,UNKNOWN,TPD or QCM to measure He-3 sticking on F-diamond,Coverage measurement,D11,NO,YES,
R050,Both isotopes degrade equally → nonmagnetic effect,NV detection,Isotope contrast absent; sensing fails,MEDIUM,CRITICAL,UNKNOWN,He-3 vs He-4 controlled comparison,Isotope contrast experiment,D13,NO,YES,If ΔΓ=0: non-magnetic surface effect dominates; nuclear spin hypothesis unsupported.
R051,Anchoring path omitted for a component,Any subsystem,Component thermal load unaccounted → budget exceeded,HIGH,HIGH,DESIGN_SPECIFIED,Document all anchoring paths in BOM and interface map,Step-response with each component installed,"D3,D4",NO,YES,All anchoring paths now documented in BOM.csv columns; none verified until installed
R052,Kevlar end termination slip after cooldown,Support architecture,Fiber slips in clamp → support load drops; sample falls,MEDIUM,CRITICAL,DESIGN_SPECIFIED,Mechanical slip test at cryogenic T after 10 cycles,Slip test at cryogenic T,"D3,E06",NO,YES,Differential thermal contraction pulls fiber through crimp. Clamp design TBD.
R053,G-10CR flexure mount loosening,Support architecture,Flexure loosens → lateral drift; increased vibration coupling,MEDIUM,MEDIUM,DESIGN_SPECIFIED,Torque-retention test after 10 thermal cycles,Torque test post-cycles,D3,NO,YES,G-10CR attachment stability after differential thermal contraction UNKNOWN
R054,Differential thermal contraction misalignment,Support architecture,Sample stage drifts > alignment tolerance → beam misalignment,MEDIUM,HIGH,DESIGN_SPECIFIED,Cooldown alignment measurement; design compensation,Alignment measurement after cooldown,"D4,D6",NO,YES,"Differential contraction between Cu, SS, G-10CR, Kevlar not calculated for this geometry"
R055,Anchor-block contact resistance too high,Support architecture,Thermal intercept conductance below design → excess heat load,MEDIUM,HIGH,DESIGN_SPECIFIED,Contact-resistance measurement per stage; gold-plate mating faces,Step-response per intercept stage,"D3,E06",NO,YES,Gold-plated contact faces reduce risk; actual resistance UNKNOWN
R056,Wire thermal anchors insufficient,Electrical,Wiring heat load exceeds estimate → thermal budget exceeded,MEDIUM,HIGH,DESIGN_SPECIFIED,Step-response with and without wiring installed,Step-response measurement,D3,NO,YES,P_cond=2.46 nW [ASSUMED]; actual anchoring effectiveness UNKNOWN
R057,Microwave-line anchors insufficient,Microwave,MW coax heat load exceeds model → Mode D thermal gate fails,MEDIUM,HIGH,DESIGN_SPECIFIED,Measure MW line heat load separately from DC wiring,Step-response with MW lines installed,D16,NO,YES,MW-line thermal anchor effectiveness UNKNOWN
R058,Gas-line thermal anchors insufficient,Gas delivery,Gas-line heat load exceeds budget → T_sample too high,MEDIUM,MEDIUM,DESIGN_SPECIFIED,Design anchoring at each cryogenic stage; measure by step-response,Step-response with gas lines installed,D3,NO,YES,Gas-line thermal anchor effectiveness [DESIGN_SPECIFIED; UNKNOWN]
R059,Optical path drift after cooldown,Optics,Beam misaligned at sample → no excitation; wrong fluence,MEDIUM,HIGH,DESIGN_SPECIFIED,Cooldown alignment measurement; design compensation,Beam alignment measurement after cooldown,"D6,D7",NO,YES,Viewport and optics differential thermal contraction UNKNOWN
R060,Sample mount drift after cooldown,Diamond,Diamond position shifts → beam misalignment; field gradient,MEDIUM,HIGH,DESIGN_SPECIFIED,Alignment measurement after multiple cooldown cycles,Position measurement post-cooldown,"D4,D6",NO,YES,Sample-stage alignment drift [DESIGN_SPECIFIED; UNKNOWN]
R061,Tensioned-fiber resonance couples vibration,Support architecture,Kevlar fiber resonant modes amplify vibration at NV → dephasing,MEDIUM,MEDIUM,DESIGN_SPECIFIED,Calculate resonant modes; measure fiber PSD transfer,PSD measurement with fibers tensioned,D17,NO,YES,Support resonant modes [DESIGN_SPECIFIED; UNKNOWN]
R062,Cryogenic valve leakage,Gas delivery,Valve not fully closed → gas cross-contamination or excess pressure,MEDIUM,HIGH,DESIGN_SPECIFIED,Leak test each valve at operating conditions; RGA after closure,Valve leak test; RGA,"D11,D2",NO,YES,Cryogenic valve leakage rate at operating T UNKNOWN
R063,Purge path dead volume,Gas delivery,Dead volume retains precursor → incomplete purge,MEDIUM,HIGH,DESIGN_SPECIFIED,Minimize dead volume in purge path; RGA to verify,RGA post-purge,"B1,D2",NO,YES,Dead volume in purge path TBD. Purge efficiency UNKNOWN.
R064,PMB line-of-sight misalignment,Helium dosing,He-3 dose does not reach sample → coverage inhomogeneous,MEDIUM,MEDIUM,DESIGN_SPECIFIED,Verify PMB line-of-sight geometry after installation,Geometry verification; flux calibration,D11,NO,YES,PMB line-of-sight alignment [DESIGN_SPECIFIED; UNKNOWN]
R065,Cryo-baffle shutter sticks or lags,Helium dosing,Dose timing incorrect → coverage model wrong,MEDIUM,MEDIUM,DESIGN_SPECIFIED,Test shutter timing at cryogenic T,Shutter timing test at operating T,D11,NO,YES,Cryo-baffle shutter timing at cryogenic T UNKNOWN
R066,Surface characterization not available after cooldown,Diamond,Cannot verify termination in-situ → model assumption unconfirmed,HIGH,HIGH,DESIGN_SPECIFIED,Ex-situ XPS before and after; in-situ Raman if possible,XPS + AFM + Raman pre/post-cooldown,"D11,D13",NO,YES,Surface termination drift [DESIGN_SPECIFIED; UNKNOWN]
R067,Isotope contrast confounded by temperature drift,NV detection,ΔΓ has thermal artifact → false positive or false negative,MEDIUM,HIGH,DESIGN_SPECIFIED,Stabilize T_sample to < 0.5 mK during exposure; log T continuously,T_sample stability measurement during exposure,D13,NO,YES,Temperature drift causes decoherence artifact independent of helium
R068,Helium adsorption not reproducible,NV detection,Coverage varies run-to-run → no consistent signal,MEDIUM,MEDIUM,DESIGN_SPECIFIED,Characterize sticking vs T and P; repeat exposures,Reproducibility test: 3+ identical exposures,"D11,D13",NO,YES,He-3 sticking on F-diamond UNKNOWN; reproducibility UNKNOWN
R069,LCVD damages NV layer,LCVD,Growth process destroys NV ensemble → no Mode D signal,MEDIUM,CRITICAL,DESIGN_SPECIFIED,Test LCVD pulse sequence on dummy sample; ODMR before/after,ODMR before and after LCVD cycle,"D12,D13",NO,YES,LCVD laser fluence and chemistry at 10 mK unknown
R070,LCVD changes surface termination unpredictably,LCVD,F-termination destroyed → tau_c and n_s change,MEDIUM,HIGH,DESIGN_SPECIFIED,XPS before and after Mode B; define acceptable termination change,XPS before/after LCVD cycle,"D11,D13",NO,YES,LCVD chemistry at 10 mK effect on surface termination UNKNOWN
R071,Optical heating changes NV contrast,Optics,Laser-induced heating shifts C_contr → contrast measurement unreliable,MEDIUM,HIGH,DESIGN_SPECIFIED,Optical power sweep; T_sample monitoring during illumination,Power sweep + T_sample monitoring,D12,NO,YES,C_contr may depend on laser-induced T rise which depends on eta_abs [ASSUMED]
R072,Microwave heating changes sample temperature,Microwave,MW dissipation shifts T_sample during sensing → decoherence artifact,MEDIUM,MEDIUM,DESIGN_SPECIFIED,Step-response with MW on/off; T_sample monitoring,Step-response: MW on/off,D16,NO,YES,ΔT_mw=100 µK [ASSUMED]; threshold 104 µK. Marginal.
R073,Thermal sensor not at true sample node,Diagnostics,T_sample reading biased → G_eff measurement wrong,HIGH,HIGH,DESIGN_SPECIFIED,Verify sensor placement by finite-element model or dual-sensor test,Dual-sensor placement test,"D4,D5",NO,YES,"Sensor must be at sample node, not frame or stage body [DESIGN_SPECIFIED]"
R074,Heater step response measures wrong thermal path,Diagnostics,G_eff measurement reflects wrong thermal resistance → wrong G_eff,MEDIUM,HIGH,DESIGN_SPECIFIED,Place heater and sensor at same thermal node as sample,Heater + sensor co-location verification,D5,NO,YES,Heater mount at true sample thermal node [DESIGN_SPECIFIED; UNKNOWN]
R075,Package documentation drift across files,Documentation,Files contradict each other → package internally inconsistent,HIGH,MEDIUM,ONGOING MANAGEMENT,Run sync check after every file update; maintain single source of truth,File sync check (automated or manual),ALL,NO,PARTIAL,All files currently synchronized as of this pass. Future updates must maintain consistency.
R076,Mode B LCVD parameters mixed with Mode D NV readout,Documentation / config,Wrong gate evaluation if A and D mixed,MEDIUM,HIGH,DESIGN_SPECIFIED,Keep ModeA_LCVD_Optics and ModeD_NV_Readout separate in config; document in manuscript,Config audit,"A6-A13,D6,D7",NO,YES,Manuscript now explicitly separates Mode B and Mode D laser configs.
R077,Precursor cryocondensation on cold surfaces,Mode B LCVD,CH4 (or other precursor) condenses on 10mK/100mK shields,HIGH,HIGH,DESIGN_SPECIFIED,Warm/differentially-pumped molecular beam delivery; localized to target,Witness coupon + QCM + RGA after Mode B pulse train,"A6,A7,A10",NO,YES,Cryocondensation is the primary reason LCVD-at-10-mK is not viable as chamber fill.
R078,Deposition yield per pulse unknown,Mode B LCVD,LCVD does not actually deposit; or deposits uncontrollably,HIGH,CRITICAL,UNKNOWN,Witness coupon + QCM + AFM + Raman + XPS post-pulse-train,Coupon characterization,A9,NO,YES,"Without measured yield, Mode B LCVD is unverifiable."
R079,Local surface temperature during deposition pulse unknown,Mode B LCVD,Photolysis/pyrolysis threshold not reached; or surface damaged,HIGH,HIGH,UNKNOWN,Pump-probe thermometry at growth surface; thermal solve validation,Fast thermometric measurement,A8,NO,YES,Surface T during pulse cannot be assumed.
R080,Mode B (growth) heat enters mixing chamber,Mode B thermal,MC heat leak during Mode B exceeds cooling budget,MEDIUM,CRITICAL,DESIGN_SPECIFIED,Dedicated growth thermal dump switch + radiation shutter stack,Step-response per dump path during Mode B,A12,NO,YES,MC is not a Mode B (growth) heat sink. Dedicated non-MC dump required.
R081,Cross-mode contamination of sensing zone,Mode B / Mode D handoff,Mode D detection corrupted by Mode B byproducts,HIGH,HIGH,DESIGN_SPECIFIED,Witness coupon + RGA verification before Mode D,Coupon + RGA post-Mode-A,"A10,A11",NO,YES,A11 gate explicit. Sensing zone must be verified clean.
R082,Thermal cycling fatigue at material interfaces,All interfaces,Cracks/delamination/conductance drift after repeated cycles,MEDIUM,HIGH,UNVERIFIED,Run N=100 (engineering) and N=1000 (extended) cycles + inspection,AFM/SEM inspection; QCM/RGA/conductance drift,A13,NO,YES,Cycling acceptance gate A13.
R083,Helium film present during LCVD,Mode B LCVD / Mode D coupling,"He-film wets surface, blocks precursor, alters NV environment",HIGH,CRITICAL,DESIGN_SPECIFIED,Hardware interlock IL-14: LCVD_on AND He_present = IMPOSSIBLE,P_He log + RGA + QCM pre-Mode-A,A14,NO,YES,IL-14 hardware interlock required; gate A14 verifies pre-Mode-A state.
R084,Repetition rate / pulse parameter mismatch in documentation,Documentation,Old manuscript mixed 1 MHz with 1 ms (period 1 µs vs 1 ms),LOW,LOW,RESOLVED,Manuscript now uses separate Mode B and Mode D vectors,Config audit,"A8,A9,D6,D7",NO,NO,Resolved by Mode B/Mode D separation.
R-RAD-1,radiation shutter leak,SHIELD-001/002/003 shutter stack,shutter or baffle gap allows direct 4 K/300 K radiation onto 10 mK stage,HIGH,HIGH,OPEN,three-shutter stack + RF-tight can; verify each shutter independently,Radiometric sample-stage heat load with shutter closed; baffle thermometry,Shield-RAD; C4,NO,YES,added by shielding/mode-separation hardening pass; no in-system data
R-RAD-2,baffle heat leak into mixing chamber,SHIELD-002 labyrinth baffles,baffle assembly conducts more than expected,HIGH,HIGH,OPEN,intercept supports; thermalize baffles at 4 K and 1 K,Cumulative sample-stage heat-load after full installation,Shield-RAD; C4; D3,NO,YES,added by shielding/mode-separation hardening pass; no in-system data
R-OPT-1,optical line-of-sight leak,SHIELD-006 cold apertures,300 K or Mode B path reaches 10 mK,HIGH,HIGH,OPEN,nested cold apertures + cold beam dumps,Line-of-sight audit; cold-aligned aperture verification,Shield-OPT,NO,YES,added by shielding/mode-separation hardening pass; no in-system data
R-OPT-2,cold beam dump adds excess heat at wrong stage,SHIELD-007 cold beam dumps,beam dump on 10 mK stage overloads mixing chamber,MEDIUM,HIGH,OPEN,place beam dumps at 4 K or 1 K; size heat budget,Per-stage beam-dump absorbed-power measurement,Shield-OPT; Shield-RAD; D3,NO,YES,added by shielding/mode-separation hardening pass; no in-system data
R-MW-1,microwave blackbody leakage above Mode D budget,SHIELD-012 + microwave delivery,4 K microwave thermal photons reach sample volume; NV dephasing,HIGH,HIGH,OPEN,staged filters + RF-tight can termination,Sample-stage heat load with 4 K T varied; NV dephasing budget,Shield-RF; Shield-MW,NO,YES,added by shielding/mode-separation hardening pass; no in-system data
R-RF-1,RF-tight can not actually RF-tight,SHIELD-004 sample can,gaps or improperly terminated filters; NV ODMR/Ramsey corrupted,HIGH,HIGH,OPEN,filters terminate inside can; RF integrity test,Closed-can vs open-can NV baseline; RF noise floor at NV frequencies,Shield-RF,NO,YES,added by shielding/mode-separation hardening pass; no in-system data
R-RF-2,filters not thermalized at correct stage,SHIELD-005 staged filters,heat path bypasses anchoring; high-frequency photons reach sample,MEDIUM,HIGH,OPEN,thermal anchor every filter at its assigned stage,Per-stage filter-body thermometry during RF operation,Shield-RF,NO,YES,added by shielding/mode-separation hardening pass; no in-system data
R-CHEM-1,cryopanels saturate before end of Mode B campaign,SHIELD-009 cryopanels + PANEL-*,cryopanel releases or fails to capture; Mode B chemistry reaches Mode D,HIGH,HIGH,OPEN,regenerable cryotraps; sized for Mode B campaign duration,Per-species RGA + QCM through full cycle; saturation/regeneration test,Shield-CHEM; C_to_D_Readiness,NO,YES,added by shielding/mode-separation hardening pass; no in-system data
R-CHEM-2,dirty shutter contaminates clean side,SHIELD-008 dual-shutter stack,Mode B residue migrates past dirty shutter onto clean side,HIGH,HIGH,OPEN,dual-shutter + sacrificial cryopanel between,Clean-side coupon after repeated Mode B exposures; QCM tracking,Shield-CHEM,NO,YES,added by shielding/mode-separation hardening pass; no in-system data
R-CHEM-3,Mode C recovery passes thermally but fails chemically,Mode C recovery sequence,sample stage temperature recovers but residual species above Mode D threshold,HIGH,VERY HIGH,OPEN,RGA-gated C->D transition; not thermal-only,RGA species-resolved residuals at C->D transition,C_to_D_Readiness; Shield-CHEM,NO,YES,added by shielding/mode-separation hardening pass; no in-system data
R-CHEM-4,Mode C recovery passes vacuum but fails surface cleanliness,Mode C + diamond surface,base vacuum reached but diamond surface chemically altered,HIGH,HIGH,OPEN,witness coupon + surface termination check,Witness coupon XPS/Raman; AFM topography,C_to_D_Readiness,NO,YES,added by shielding/mode-separation hardening pass; no in-system data
R-MODE-1,Mode D NV baseline does not recover after Mode B history,full mode-separation architecture,architecture fundamentally fails; Mode D unreachable after even one Mode B cycle,UNKNOWN,VERY HIGH,OPEN,staged Mode B intensity; witness sample comparison,NV ODMR/Ramsey baseline before and after a full Mode B->C cycle,C_to_D_Readiness; D12_G23; D14,NO,YES,added by shielding/mode-separation hardening pass; no in-system data
R-MODE-2,C_to_D readiness gate is composite,all Mode C readiness checks,single-point weakness in any sub-condition blocks Mode D,HIGH,HIGH,OPEN,treat as composite gate with explicit sub-checks,mode_transition_acceptance_tests.csv row T-C2D coordinated measurement,C_to_D_Readiness,NO,YES,added by shielding/mode-separation hardening pass; no in-system data
R-MAG-1,magnetic shield distorts NV bias-field geometry,SHIELD-010 magnetic shielding,NV ODMR/Ramsey frequencies shift; calibration invalid,MEDIUM,HIGH,OPEN,validate field map before adopting shield,Field map with shield in/out; NV ODMR baseline before/after,Shield-MAG,NO,YES,added by shielding/mode-separation hardening pass; no in-system data
R-MAG-2,superconducting shield traps flux during cooldown,SHIELD-011 optional superconducting shield,persistent field offset; NV bias incompatibility,MEDIUM,HIGH,OPEN,controlled-field cooldown; explicit trapped-flux test,Controlled-field cooldown; field map before/after; trapped-flux assessment,Shield-MAG,NO,YES,added by shielding/mode-separation hardening pass; no in-system data
R-MECH-1,shielding stack adds mechanical/vibration coupling,SHIELD-004/006/010 mechanical attachments,new shields couple acoustic/vibration paths to sample stage,MEDIUM,MEDIUM,OPEN,damping at attachment; isolation pads,Vibration spectrum at sample stage with shields installed,Shield-OPT; Shield-MAG; vibration gates,NO,YES,added by shielding/mode-separation hardening pass; no in-system data
R-RTB-1,RTB/JT vibration couples into NV readout or sample stage,SHIELD/dump-stage mechanical coupling,Compressor/turbine vibration transmitted through mounts and thermal links degrades NV readout SNR and sample-stage stability,MEDIUM,HIGH,OPEN,vibration isolation at mount; flexible thermal links; measure spectrum before commit,"Vibration spectrum at QTA sample, optical path, and Mode D interfaces with RTB/JT operating",RTB_JT_OPTIONAL_COOLING_PLANT; Shield-MAG; Mode D readout,NO,YES,added by RTB/JT optional-cooling-plant pass; DESIGN_OPTION only
